# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
530             	7.47565949e-05	1.40288422e-05	3.08127195e-04	2.28820192e-04	7.93070025e-05
540             	7.47639099e-05	1.40197485e-05	3.08118059e-04	2.28822940e-04	7.92951198e-05
550             	7.47708603e-05	1.40108166e-05	3.08109571e-04	2.28825646e-04	7.92839252e-05
560             	7.47773875e-05	1.40021970e-05	3.08101555e-04	2.28828165e-04	7.92733901e-05
570             	7.47835033e-05	1.39941459e-05	3.08094173e-04	2.28830590e-04	7.92635833e-05
580             	7.47891771e-05	1.39868321e-05	3.08087170e-04	2.28832762e-04	7.92544079e-05
590             	7.47944608e-05	1.39802242e-05	3.08080864e-04	2.28834893e-04	7.92459711e-05
600             	7.47993707e-05	1.39743308e-05	3.08075031e-04	2.28836886e-04	7.92381447e-05
610             	7.48038049e-05	1.39689875e-05	3.08069438e-04	2.28838524e-04	7.92309140e-05
620             	7.48080248e-05	1.39641873e-05	3.08064194e-04	2.28840122e-04	7.92240722e-05
630             	7.48119922e-05	1.39598313e-05	3.08059490e-04	2.28841737e-04	7.92177526e-05
640             	7.48156641e-05	1.39559402e-05	3.08055146e-04	2.28843237e-04	7.92119090e-05
650             	7.48190689e-05	1.39524491e-05	3.08051192e-04	2.28844665e-04	7.92065269e-05
660             	7.48222557e-05	1.39493056e-05	3.08047296e-04	2.28845904e-04	7.92013924e-05
670             	7.48251809e-05	1.39463236e-05	3.08043833e-04	2.28847098e-04	7.91967358e-05
680             	7.48278873e-05	1.39435831e-05	3.08040264e-04	2.28848020e-04	7.91922450e-05
690             	7.48306176e-05	1.39411901e-05	3.08037391e-04	2.28849313e-04	7.91880781e-05
700             	7.48329148e-05	1.39390104e-05	3.08034530e-04	2.28850180e-04	7.91843504e-05
710             	7.48350312e-05	1.39369761e-05	3.08032011e-04	2.28851036e-04	7.91809741e-05
720             	7.48371748e-05	1.39351809e-05	3.08029629e-04	2.28851989e-04	7.91776398e-05
730             	7.48389543e-05	1.39333075e-05	3.08027197e-04	2.28852553e-04	7.91746441e-05
740             	7.48408099e-05	1.39316550e-05	3.08025152e-04	2.28853386e-04	7.91717659e-05
750             	7.48423078e-05	1.39299960e-05	3.08023125e-04	2.28853870e-04	7.91692548e-05
760             	7.48438737e-05	1.39287842e-05	3.08021427e-04	2.28854587e-04	7.91668398e-05
770             	7.48451651e-05	1.39273827e-05	3.08019746e-04	2.28855038e-04	7.91647079e-05
780             	7.48464805e-05	1.39262339e-05	3.08018265e-04	2.28855613e-04	7.91626519e-05
790             	7.48477365e-05	1.39251662e-05	3.08016818e-04	2.28856146e-04	7.91606726e-05
800             	7.48489298e-05	1.39239102e-05	3.08015708e-04	2.28856784e-04	7.91589243e-05
810             	7.48497839e-05	1.39229560e-05	3.08014329e-04	2.28856949e-04	7.91573808e-05
820             	7.48507421e-05	1.39224455e-05	3.08013343e-04	2.28857413e-04	7.91559292e-05
830             	7.48516560e-05	1.39217245e-05	3.08012435e-04	2.28857873e-04	7.91545612e-05
840             	7.48525826e-05	1.39206808e-05	3.08011446e-04	2.28858305e-04	7.91531402e-05
850             	7.48531953e-05	1.39194684e-05	3.08010358e-04	2.28858374e-04	7.91519838e-05
860             	7.48538905e-05	1.39190227e-05	3.08009641e-04	2.28858711e-04	7.91509301e-05
870             	7.48544843e-05	1.39189002e-05	3.08008967e-04	2.28858968e-04	7.91499992e-05
880             	7.48550848e-05	1.39186032e-05	3.08008380e-04	2.28859275e-04	7.91491053e-05
890             	7.48557099e-05	1.39179550e-05	3.08007818e-04	2.28859619e-04	7.91481990e-05
900             	7.48563138e-05	1.39171227e-05	3.08007246e-04	2.28859937e-04	7.91473092e-05
910             	7.48568753e-05	1.39163428e-05	3.08006759e-04	2.28860255e-04	7.91465043e-05
920             	7.48570971e-05	1.39158179e-05	3.08006103e-04	2.28860149e-04	7.91459544e-05
930             	7.48573948e-05	1.39160509e-05	3.08005721e-04	2.28860255e-04	7.91454656e-05
